Tempo,Distância do AP (media),Velocidade (media),Via
0.203,6.814665,3.679075,2
0.303,7.04742,4.57171,2
0.405,7.45037,5.36665,2
0.503,8.15039,6.03751,2
0.57,8.612585,6.71458,2
0.64,8.890095,7.112395,2
0.704,9.03473,7.24197,2
0.805,9.06698,7.339225,2
0.904,9.087065,7.392805,2
0.973,9.12948,7.44192,2
1.042,9.19209,7.523695,2
1.143,9.268985,7.597905,2
1.202,9.3056,7.703645,2
1.303,9.3056,7.703645,2
1.402,9.3056,7.703645,2
1.475,9.3056,7.703645,2
1.573,9.3056,7.703645,2
1.64,9.3056,7.770275,2
1.741,9.32716,7.770275,2
1.804,9.38277,7.770275,2
1.902,9.38277,7.770275,2
1.969,9.38277,7.770275,2
2.039,9.320345,7.79099,2
2.103,9.320345,7.807885,2
2.205,9.320345,7.807885,2
2.304,9.38277,7.807885,2
2.404,9.43629,7.817605,2
2.475,9.44155,7.826875,2
2.577,9.44155,7.82307,2
2.636,9.414195,7.807885,2
2.704,9.389815,7.79856,2
2.804,9.382655,7.79352,2
2.903,9.38673,7.79352,2
2.975,9.38673,7.79352,2
3.042,9.38752,7.81128,2
3.107,9.38752,7.82204,2
3.205,9.38752,7.82204,2
3.303,9.38752,7.82204,2
3.371,9.38752,7.865155,2
3.472,9.393765,7.9132,2
3.54,9.42005,7.91583,2
3.603,9.442425,7.91583,2
3.705,9.442425,7.91583,2
3.805,9.442425,7.93459,2
3.904,9.442425,7.94861,2
3.971,9.442425,7.952755,2
4.075,9.441255,7.962755,2
4.171,9.425355,7.958875,2
4.238,9.41217,7.97009,2
4.306,9.41217,7.975525,2
4.404,9.41141,7.975525,2
4.47,9.409975,7.975525,2
4.54,9.409175,7.975525,2
4.64,9.409175,7.977215,2
4.705,9.409175,7.97833,2
4.805,9.409175,7.971645,2
4.868,9.409835,7.971645,2
5.005,9.41149,7.97833,2
05.07,9.414735,7.970755,2
5.142,9.419495,7.961815,2
5.238,9.42188,7.957765,2
5.303,9.423015,7.957765,2
5.405,9.426925,7.940785,2
5.474,9.426925,7.923305,2
5.537,9.426925,7.91758,2
5.603,9.426925,7.910365,2
5.703,9.426925,7.748715,2
5.808,9.315535,7.37134,2
5.905,8.91608,6.658605,1
5.975,8.54628,5.92977,1
6.044,8.46732,5.43035,1
6.105,8.22701,5.089775,1
6.175,7.9867,4.870805,1
6.275,7.875895,4.656325,1
6.335,7.76509,4.55,1
6.406,7.748525,4.55,1
6.471,7.748525,4.55,1
6.537,7.748525,4.55,1
6.575,7.748525,4.55,1
6.645,7.76509,4.681535,1
6.706,7.97705,5.06411,1
6.804,8.326115,5.499335,1
6.875,8.46322,5.891545,1
6.937,8.65528,6.128225,1
7.006,8.84734,6.128225,1
7.075,8.84734,6.128225,1
7.138,8.84734,6.128225,1
7.204,8.84734,6.128225,1
7.271,8.84734,6.01743,1
7.34,8.55104,5.583795,1
7.403,8.08918,5.216605,1
7.504,8.021745,5.216605,1
7.541,8.021745,5.216605,1
7.604,8.021745,5.216605,1
7.674,8.021745,5.216605,1
7.746,8.021745,5.351835,1
7.806,8.34094,5.717545,0
7.904,8.56201,5.974905,0
7.977,8.72803,6.25596,0
8.039,9.126875,6.57713,0
8.103,9.3597,6.84967,0
8.172,9.384305,7.0151,0
8.205,9.500885,7.114985,0
8.304,9.59286,7.17536,0
8.374,9.59286,7.17536,0
8.443,9.59286,7.17536,0
8.502,9.59286,7.17536,0
8.57,9.59286,7.17536,0
8.639,9.569325,7.087605,0
8.703,9.500835,6.98388,0
8.773,9.45588,6.98388,0
8.835,9.418765,6.98388,0
9.103,9.3642,6.98388,0
9.206,9.33707,6.98388,0
9.273,9.33707,7.041515,0
9.339,9.35452,7.104735,0
9.405,9.418765,7.175375,0
9.477,9.45588,7.348335,0
9.542,9.50359,7.518245,0
9.609,9.5513,7.647675,0
9.673,9.5513,7.675655,0
9.741,9.5513,7.675655,0
9.806,9.5513,7.675655,0
9.874,9.5513,7.675655,0
9.948,9.493635,7.675655,0
10.006,9.3665,7.541445,0
10.106,9.29703,7.370005,0
10.145,9.255735,7.23654,0
10.207,9.08797,7.17227,0
10.276,8.98915,7.15247,0
10.345,8.98915,7.145345,0
10.406,8.98915,7.14358,0
10.473,8.9685,7.14358,0
10.541,8.94987,7.14358,0
10.64,8.9685,7.14358,0
10.706,8.99615,7.145345,0
10.806,8.99615,7.242855,0
10.905,8.99615,7.259545,0
10.975,8.99615,7.259545,0
11.07,8.931545,7.259545,0
11.142,8.880415,7.259545,0
11.206,8.87324,7.259545,0
11.305,8.637035,6.91351,0
11.405,8.469825,6.7318,0
11.473,8.469825,6.7318,0
11.54,8.469825,6.7318,0
11.604,8.469825,6.7318,0
11.704,8.469825,6.7318,0
11.805,8.725165,6.92337,0
11.875,8.918725,7.12185,0
11.944,8.988545,7.3451,0
12.006,9.14238,7.529165,0
12.106,9.23344,7.579045,0
12.205,9.23344,7.579045,0
12.272,9.23344,7.579705,0
12.373,9.233665,7.579705,0
12.438,9.23344,7.579705,0
12.505,9.23327,7.58376,0
12.606,9.23327,7.58376,0
12.704,9.23161,7.58376,0
12.769,9.22995,7.58376,0
12.841,9.22995,7.604335,0
12.905,9.20904,7.63102,0
13.007,9.14175,7.63102,0
13.105,9.11761,7.63102,0
13.204,9.044105,7.63102,0
13.273,9.044105,7.63102,0
13.343,9.085,7.575975,0
13.403,9.085,7.53547,0
13.506,9.044105,7.53162,0
13.57,9.082015,7.53162,0
13.636,9.082015,7.53162,0
13.704,9.12291,7.53162,0
13.772,9.133415,7.54657,0
13.873,9.19617,7.632985,0
13.942,9.19617,7.762435,0
14.004,9.19617,7.779325,0
14.106,9.19617,7.790125,0
14.175,9.24091,7.807635,0
14.274,9.3379,7.807635,0
14.339,9.372115,7.807635,0
14.409,9.40633,7.802765,0
14.508,9.40633,7.785255,0
14.573,9.38207,7.78312,0
14.667,9.31562,7.78312,0
14.739,9.31562,7.78312,0
14.807,9.31562,7.797445,0
14.909,9.31562,7.802765,0
14.972,9.25435,7.844315,0
15.072,9.20321,7.87979,0
15.138,9.20321,7.901205,0
15.21,9.20321,7.91441,0
15.311,9.20321,7.92391,0
15.411,9.20321,7.937645,0
15.478,9.230325,7.94391,0
15.54,9.230325,7.94518,0
15.611,9.3,7.94518,0
15.714,9.3105,7.94391,0
15.775,9.34351,7.937645,0
15.872,9.37652,7.937645,0
15.94,9.37652,7.91106,0
16.013,9.34351,7.86469,0
16.116,9.3105,7.828655,0
16.211,9.23996,7.80941,0
16.268,9.16878,7.759335,0
16.339,9.16814,7.654065,0
16.44,9.15145,7.589595,0
16.505,9.15145,7.581115,0
16.611,9.15145,7.580945,0
16.713,9.15145,7.558965,0
16.779,9.15145,7.5554,0
16.867,9.16814,7.5554,0
16.909,9.201525,7.5554,0
17.011,9.268105,7.57738,0
17.107,9.268105,7.589425,0
17.172,9.268105,7.62898,0
17.268,9.3013,7.70044,0
17.307,9.3013,7.74154,0
17.413,9.3013,7.800325,0
17.475,9.382525,7.852015,0
17.574,9.45482,7.855055,0
17.64,9.404235,7.855055,0
17.705,9.404235,7.855055,0
17.809,9.404235,7.855055,0
17.911,9.404235,7.855055,0
17.972,9.404235,7.65228,0
18.04,9.079835,6.96845,0
18.14,8.79709,6.291785,1
18.21,8.561755,5.81538,1
18.272,8.246575,5.335445,1
18.372,7.99085,4.949765,1
18.439,7.827035,4.949765,1
18.515,7.827035,4.949765,1
18.574,7.827035,4.949765,1
18.668,7.827035,4.949765,1
18.737,7.827035,4.99018,1
18.811,8.11024,5.45009,1
18.875,8.38138,5.68059,1
18.94,8.38138,5.68059,1
19.005,8.38138,5.68059,1
19.068,8.38138,5.68059,1
19.168,8.38138,5.68059,1
19.241,8.193425,5.368605,1
19.308,8.084835,5.124,1
19.411,8.084835,5.124,1
19.468,8.084835,4.938105,1
19.509,8.05132,4.810465,1
19.613,7.93631,4.72497,1
19.667,7.85598,4.646215,1
19.768,7.85598,4.625945,2
19.841,7.85598,4.646215,2
19.908,7.85598,4.72497,2
19.968,7.834975,4.99636,2
20.069,7.834975,5.006775,2
20.139,7.834975,5.006775,2
20.216,7.834975,5.430975,2
20.271,7.834975,5.79522,2
20.34,7.906035,6.08216,2
20.408,7.906035,6.159355,2
20.467,7.906035,6.159355,2
20.54,7.906035,6.159355,2
20.617,7.906035,6.22333,2
20.669,8.086405,6.46976,2
20.769,8.22174,6.7398,2
20.836,8.22555,6.7398,2
20.908,8.22555,6.7398,2
20.968,8.208075,6.700985,2
21.04,7.99899,6.454555,2
21.116,7.99899,6.454555,2
21.208,7.99899,6.454555,2
21.314,7.99899,6.454555,2
21.368,8.1429,6.315995,2
21.44,8.05481,6.052275,2
21.512,8.05481,6.052275,2
21.611,8.05481,6.052275,2
21.709,8.05481,6.052275,2
21.815,8.05481,6.052275,2
21.911,8.272795,6.263655,2
22.015,8.627465,6.57839,2
22.113,8.78577,6.930565,2
22.212,8.979935,7.16849,2
22.309,9.082705,7.204245,2
22.37,9.1741,7.26618,2
22.436,9.185535,7.30787,2
22.509,9.19697,7.34956,2
22.612,9.212375,7.506305,2
22.714,9.22778,7.66305,2
22.77,9.212375,7.464615,2
22.843,9.19697,7.26618,2
22.97,9.109545,7.204245,2
23.069,8.99131,7.14231,2
